ticker,Name,Sector,Industry
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores
SRCE,1st Source Corporation,Finance,Major Banks
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing"
XXII,"22nd Century Group, Inc",Consumer Non-Durables,Farming/Seeds/Milling
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software
MMM,3M Company,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation
JOBS,"51job, Inc.",Technology,Diversified Commercial Services
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
AIR,AAR Corp.,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACN,Accenture plc,Miscellaneous,Business Services
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATNM,"Actinium Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,Technology,EDP Services
ATU,Actuant Corporation,Technology,Industrial Machinery/Components
ACXM,Acxiom Corporation,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
ASX,"Advanced Semiconductor Engineering, Inc.",Technology,Semiconductors
AAV,Advantage Oil & Gas Ltd,Energy,Oil & Gas Production
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
ACM,AECOM,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,Energy,Oil Refining/Marketing
AEGN,Aegion Corp,Basic Industries,Water Supply
AEG,Aegon NV,Finance,Life Insurance
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HIVE,"Aerohive Networks, Inc.",Technology,EDP Services
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AET,Aetna Inc.,Health Care,Medical Specialities
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals
AFL,Aflac Incorporated,Finance,Accident &Health Insurance
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGYS,"Agilysys, Inc.",Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
AGU,Agrium Inc.,Basic Industries,Agricultural Chemicals
AL,Air Lease Corporation,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services
AYR,Aircastle Limited,Technology,Diversified Commercial Services
AMCN,AirMedia Group Inc,Technology,Advertising
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment
AIN,Albany International Corporation,Basic Industries,Textiles
ALB,Albemarle Corporation,Basic Industries,Major Chemicals
AA,Alcoa Corporation,Basic Industries,Aluminum
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ALEX,"Alexander & Baldwin Holdings, Inc.",Finance,Real Estate
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts
AXU,Alexco Resource Corp,Basic Industries,Precious Metals
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals
Y,Alleghany Corporation,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore
